,ID,country,age_group,total_female,total_male,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_Arba_minch,night_Gamo_Gofa,first_trip_tz,total_cost,peak_period,is_african,total_persons,total_nights_spent,arrangement_Package Tour,travel_with_Children,travel_with_Friends/Relatives,travel_with_None,travel_with_Spouse,travel_with_Spouse and Children,purpose_Leisure and Holidays,purpose_Meetings and Conference,purpose_Other,purpose_Scientific and Academic,purpose_Visiting Friends and Relatives,purpose_Volunteering,main_activity_Bird watching,main_activity_Conference tourism,main_activity_Cultural tourism,main_activity_Diving and Sport Fishing,main_activity_Hunting tourism,main_activity_Mountain climbing,main_activity_Wildlife tourism,main_activity_business,"info_source_Friends, relatives","info_source_Newspaper, magazines,brochures","info_source_Radio, TV, Web",info_source_Trade fair,"info_source_Travel, agent, tour operator",info_source_inflight magazines,info_source_others,most_impressing_Excellent Experience,most_impressing_Friendly People,most_impressing_Good service,most_impressing_No comments,most_impressing_None,most_impressing_Satisfies and Hope Come Back,"most_impressing_Wonderful Country, Landscape, Nature",payment_mode_Credit Card,payment_mode_Other,payment_mode_Travellers Cheque
0,0,101,3,1.0,1.0,0,0,0,0,0,0,0,13.0,0.0,0,674602.5,1,0,2.0,13.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,10,111,2,1.0,0.0,0,0,0,0,0,0,0,14.0,7.0,1,3214906.5,1,0,1.0,21.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,1000,111,2,0.0,1.0,0,0,0,0,0,0,0,1.0,31.0,0,3315000.0,0,0,1.0,32.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1002,111,2,1.0,1.0,0,1,1,1,1,1,0,11.0,0.0,1,7790250.0,1,0,2.0,11.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,1004,17,0,1.0,0.0,0,0,0,0,0,0,0,7.0,4.0,1,1657500.0,1,0,1.0,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,1005,111,2,0.0,1.0,0,0,0,0,1,1,0,9.0,3.0,1,120950.0,1,0,1.0,12.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1007,95,3,0.0,1.0,0,0,0,0,0,0,0,9.0,0.0,1,466140.0,0,1,1.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1008,112,3,1.0,1.0,1,1,1,1,1,1,1,10.0,3.0,1,3480750.0,1,0,2.0,13.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,101,76,2,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,1,994500.0,1,1,1.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,1011,41,2,1.0,0.0,0,0,0,0,0,0,0,5.0,0.0,1,2486250.0,0,0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
10,1012,10,2,1.0,1.0,0,0,0,0,0,0,0,17.0,3.0,1,1117155.0,1,0,2.0,20.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1013,14,3,2.0,0.0,0,0,0,0,0,0,0,30.0,0.0,0,8121750.0,1,0,2.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,1016,14,3,0.0,2.0,0,0,0,0,0,0,0,11.0,3.0,1,331500.0,1,0,2.0,14.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,1017,64,2,2.0,0.0,1,1,1,1,0,0,0,10.0,0.0,1,11346650.0,1,0,2.0,10.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1018,69,2,0.0,1.0,0,0,0,0,0,0,0,2.0,0.0,1,497250.0,0,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,102,87,4,1.0,0.0,0,0,0,0,0,0,0,0.0,2.0,1,331500.0,1,1,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1021,4,3,4.0,1.0,0,0,0,0,0,0,0,24.0,0.0,0,2000000.0,0,0,5.0,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1022,70,2,1.0,0.0,0,0,0,0,0,0,0,5.0,0.0,1,331500.0,0,0,1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1024,35,2,1.0,1.0,0,0,0,0,0,0,0,3.0,0.0,1,2269330.0,0,0,2.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1026,51,2,1.0,0.0,0,0,0,0,0,0,0,4.0,0.0,0,377520.0,0,1,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,1027,111,0,1.0,0.0,0,0,0,0,0,0,0,70.0,0.0,1,711262.5,0,0,1.0,70.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1028,51,3,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,1,497250.0,0,1,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1029,101,3,1.0,1.0,1,1,0,0,0,0,0,10.0,0.0,0,7458750.0,1,0,2.0,10.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,103,0,2,1.0,1.0,0,0,0,0,0,0,0,0.0,11.0,1,3734347.5,1,1,2.0,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1030,45,0,1.0,1.0,0,0,0,0,0,0,0,20.0,6.0,1,5673325.0,1,0,2.0,26.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
25,1032,25,0,2.0,2.0,0,0,0,0,0,0,0,15.0,7.0,1,400000.0,0,0,4.0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,1033,111,2,0.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1,663000.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
27,1034,35,0,1.0,0.0,0,0,0,0,0,0,0,24.0,4.0,1,453866.0,1,0,1.0,28.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1035,96,3,3.0,1.0,1,1,1,1,1,1,1,4.0,4.0,1,25442625.0,1,0,4.0,8.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,1036,33,0,0.0,1.0,0,1,1,1,1,1,1,11.0,3.0,1,6961500.0,1,0,1.0,14.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30,1038,111,0,0.0,1.0,0,0,0,0,0,0,0,56.0,0.0,0,1707030.0,0,0,1.0,56.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31,1039,111,3,1.0,0.0,0,0,0,0,0,0,0,12.0,0.0,0,5690100.0,0,0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,104,47,3,2.0,0.0,1,1,1,0,1,0,0,6.0,5.0,1,2652000.0,1,0,2.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,1040,29,0,0.0,1.0,1,1,0,0,0,0,0,2.0,0.0,1,2320500.0,0,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,1041,111,3,1.0,0.0,0,0,0,0,0,0,0,11.0,0.0,0,4267575.0,0,0,1.0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1042,84,2,2.0,2.0,1,1,1,1,1,1,0,13.0,10.0,0,17316000.0,1,0,4.0,23.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1043,69,0,1.0,0.0,0,0,0,0,0,0,0,3.0,0.0,1,663000.0,0,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,1045,51,3,1.0,0.0,1,1,0,0,0,0,0,5.0,0.0,0,3812250.0,0,1,1.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,1046,17,2,1.0,0.0,0,0,0,0,0,0,0,2.0,0.0,0,828750.0,1,0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,1047,62,2,0.0,1.0,0,0,0,0,0,0,0,21.0,0.0,0,3000000.0,0,1,1.0,21.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
